beta0,gamma,q_rate,q_scale,ve_s,ve_t,ve_l,v_cov_s,v_cov_t,v_cov_l,season_amp,mask_u,vent_u,online_u,club_u,disinfect_u,R_eff
0.21176500491843375,0.10849512837781673,0.18473695804729673,1.430950058272064,0.29487759414032805,0.4599876979190025,0.39290312649042175,0.0736321395450182,0.5256979384284695,0.27233871996194314,0.3397049563090974,0.19322471104566122,0.3190314026953307,0.08005608712337484,0.4298166560929812,0.19239586927249386,1.852689266421652
0.18786393115769365,0.2110499146197487,0.23561845578373658,1.3109698631726663,0.3257489464695299,0.417786511911843,0.321427302437832,0.1695539051564696,0.586313647315275,0.36242564352313483,0.2170211795623142,0.505224688582156,0.0008255933356338744,0.4341112389957189,0.47299411943256575,0.8418821031065844,0.6898935431564931
0.13497968529303064,0.14700319432193568,0.2472845727212814,2.8809097590246875,0.2533164303920046,0.33877342087923557,0.3410765289451294,0.20250486457099504,0.11033077582315377,0.32099375480561665,0.20688524263393235,0.8910295425163842,0.19073763763226884,0.4940881173003326,0.030074684883940942,0.28488033621397274,0.48281185623456657
0.36947801178204964,0.2088642413713408,0.2724204274516558,1.6809902793710791,0.3012167731578343,0.2801693932161819,0.36995670528860725,0.4288209065968664,0.23373375411071917,0.4857686545050419,0.24106427526028448,0.6398660461097896,0.22796515319399918,0.4166519917558155,0.8911726608721393,0.27012973510262195,1.243598918876848
0.29830985535505083,0.12759504847722797,0.26111198213426684,2.295161837919628,0.5840978335407496,0.49129233626317875,0.5025634954459699,0.20941252416384226,0.32281269212600316,0.284606069754164,0.2141655795771003,0.20695302968316656,0.8991164186292591,0.7279420975766153,0.22797627331881803,0.663010319182196,0.8684236635326832
0.23173703693428324,0.24897007856160783,0.2961452039715631,1.6745346745675282,0.5185527882661416,0.31713175229099566,0.2867203741978691,0.4678819457751945,0.5369003309966693,0.28625803170645964,0.2858153085185187,0.6734251587376382,0.5476379672439866,0.1902028229089867,0.5971140187556846,0.5105688145312757,0.6415828277795422
0.19648658184092202,0.2764134328577522,0.13778484127949922,2.4671025290164925,0.331704944999414,0.4629121711410098,0.3946022246390726,0.1289283093786731,0.23676670880713613,0.21886980805755984,0.3039394237996895,0.07368047670899008,0.8808227096354306,0.13610689469149342,0.4908492381089647,0.24193746531551827,1.2881403073677682
0.35504616284097024,0.2994173508944977,0.15088653238863467,1.4586062320672626,0.3410294057716472,0.28384008077078066,0.2795477574148322,0.2672045468606315,0.08753642941563651,0.14862155920721792,0.33848187166929256,0.24786135764167366,0.6205369567047473,0.32344467487687795,0.22345617180203353,0.9604187038982088,1.620197099543451
0.2519429741644521,0.265653242267034,0.22462233656848318,2.690276845637973,0.5951729724338097,0.3285124075729366,0.5408570411832416,0.21062774858164546,0.13334250311064655,0.12223372203882375,0.16205063438857648,0.8393870520051376,0.8546717336089343,0.6808049269507179,0.6069650630877944,0.5240961550026926,0.6573423199962284
0.3017765185148221,0.14224440558995508,0.14317957329389025,1.7843361817431944,0.4643732668780419,0.23143292205577243,0.5434950591670769,0.590136814995531,0.06926705057424551,0.4964145196947825,0.1841302832833945,0.5129639922843823,0.17279454962534363,0.29035273584234844,0.04106792986545827,0.21199955948275861,1.6711033376399809
0.29609193639408343,0.21746798602512585,0.22304845808800755,1.6673436522203833,0.48278955657150946,0.3356309787654006,0.33481417862026325,0.23825456066941292,0.21604050885867165,0.1696567766431722,0.11843534070644206,0.11293854399954795,0.25976176045284083,0.4983335590893554,0.5257908817336395,0.5827922650400253,1.0132307741708007
0.22514731065244936,0.19215635676696086,0.27628308583386557,2.5422550949227816,0.41014069086674976,0.477719124949582,0.20438777847610318,0.44304880748640313,0.4108444380678502,0.516520282268346,0.10059702764646326,0.8818201741535848,0.9414732571269514,0.9360385689867629,0.6482422888881187,0.061265170356915595,0.48461184971012233
0.1601082679211129,0.20866582891337782,0.1341317744122854,1.5902002030136,0.2701353082434436,0.4309895002894226,0.2832461684125439,0.516069798411681,0.18598750909753137,0.5182102203712347,0.34342184787364705,0.7752049784442341,0.6748325814726577,0.9936681860193262,0.337947746131019,0.1506895078723384,0.7773770202430732
0.2613828521955766,0.2100912141853531,0.2819520042551162,1.2055061972899923,0.5326922332329949,0.24724164410008026,0.34309095805329237,0.20417335147621624,0.2048228117035824,0.07177064486753308,0.30779450581371093,0.8010314456201578,0.22422807072653764,0.22238114033831508,0.17929023375642456,0.9717787017302264,0.8543503579940712
0.3155523868439697,0.11584806992756973,0.2998435431224953,1.0494492407398943,0.25831940819750426,0.39610862755266835,0.3767713549884861,0.19698017305259957,0.48996114919981953,0.0938975443784103,0.2731013160369157,0.41733969072843813,0.3520010879733924,0.8285373917426094,0.9621613537614945,0.1441768804389924,1.1474692621688942
0.20641360031256478,0.11780360424365602,0.298141555456262,2.8936607576530964,0.3213742312363455,0.3301797962053526,0.4178906465093547,0.34393268566785234,0.2974196769275983,0.18275172114180221,0.3223583222074874,0.745315287397676,0.8498465557238231,0.3823403485582881,0.7031759471652516,0.50098684575936,0.6214935864768295
0.2671290437244929,0.1845483887270783,0.20206240163861422,2.217887356478718,0.36993242674193555,0.3588654567606851,0.3301456699315348,0.4378674650013627,0.3735316071536322,0.5518891469548233,0.33744304655157753,0.9989594227645874,0.5943962104983204,0.8208291984122121,0.8487383947340998,0.7274408205266416,0.8522041204760789
0.365197287392587,0.1846913138181341,0.18180362669943853,1.360505114350444,0.4656889784385301,0.519185792251164,0.29090203063063785,0.16810298602860227,0.4999586044377986,0.4994964585186213,0.3359787936529794,0.5551814996066552,0.3841660822455061,0.06870296592464584,0.9006310943547421,0.07451388191655355,2.6025914419999143
